Player,2022/23 Salary,2022/23(*)
Tobias Harris,"$37,633,050 ","$38,750,442 "
Joel Embiid,"$33,616,770 ","$34,614,911 "
James Harden,"$33,000,000 ","$33,979,828 "
PJ Tucker,"$10,490,000 ","$10,801,466 "
De'Anthony Melton,"$8,250,000 ","$8,494,957 "
Furkan Korkmaz,"$5,000,000 ","$5,148,458 "
Danuel House,"$4,105,000 ","$4,226,884 "
Georges Niang,"$3,465,000 ","$3,567,882 "
Tyrese Maxey,"$2,726,880 ","$2,807,845 "
Montrezl Harrell,"$2,463,490 ","$2,536,635 "
Jaden Springer,"$2,125,200 ","$2,188,300 "
Shake Milton,"$1,997,718 ","$2,057,033 "
Jalen McDaniels,"$1,930,681 ","$1,988,006 "
Paul Reed,"$1,782,621 ","$1,835,550 "
Dewayne Dedmon,"$835,014 ","$859,807 "
Trevelin Queen,"$330,000 ","$339,798 "
Louis King,"$307,089 ","$316,207 "
Mac McClung,"$160,856 ","$165,632 "
Michael Foster,"$106,288 ","$109,443 "
Saben Lee,"$96,514 ","$99,379 "
Charles Bassey,"$74,742 ","$76,961 "
