Season Year,Rk,Player,Age,Team,Games Played,Games Started,Wins,Losses,Ties,Goals Against,Shots Against ,Saves,Save Percentage,Goals Against Average,Shutouts,Goalie Point Share,Minutes,Quality Starts,Quality Start Percentage,Really Bad Starts,Goals Allowed Percentage,Goals Saved Above Average,Goals,Assists,Points,Penalities in Minutes
2023-2024,1,Jake Allen,33,MTL,4,4,3,0,1,11,157,146,0.93,2.63,0,1.3,251,3,0.75,0,75,3.76,0,0,0,0
2023-2024,2,Frederik Andersen,34,CAR,5,5,4,0,0,13,116,103,0.888,3.06,0,0.4,255,2,0.4,2,119,-2.09,0,0,0,0
2023-2024,3,Jordan Binnington,30,STL,5,5,2,2,1,12,162,150,0.926,2.33,0,1.3,309,3,0.6,0,79,3.24,0,0,0,0
2023-2024,4,Mackenzie Blackwood,27,SJS,6,6,0,5,1,21,225,204,0.907,3.83,0,1.3,329,3,0.5,1,99,0.16,0,0,0,2
2023-2024,5,Sergei Bobrovsky,35,FLA,7,7,3,3,1,20,206,186,0.903,2.87,0,1.1,418,3,0.429,0,103,-0.63,0,0,0,0
2023-2024,6,Laurent Brossoit,30,WPG,2,2,0,1,1,7,55,48,0.873,3.38,0,0.1,124,0,0,1,135,-1.83,0,0,0,0
2023-2024,7,Jack Campbell,32,EDM,4,4,1,3,0,15,123,108,0.878,4.35,0,0.3,207,1,0.25,2,130,-3.43,0,0,0,0
2023-2024,8,Eric Comrie,28,BUF,3,3,1,1,0,6,70,64,0.914,2.45,0,0.5,147,2,0.667,0,91,0.58,0,0,0,0
2023-2024,9,Pheonix Copley,32,LAK,3,3,1,0,1,11,52,41,0.788,4.98,0,-0.3,133,0,0,2,225,-6.11,0,0,0,0
2023-2024,10,Joey Daccord,27,SEA,5,5,2,1,2,15,171,156,0.912,2.88,0,1.1,313,3,0.6,0,93,1.08,0,0,0,0
2023-2024,11,Thatcher Demko,28,VAN,5,5,3,2,0,9,140,131,0.936,1.91,1,1.2,283,4,0.8,0,68,4.17,0,0,0,0
2023-2024,12,Casey DeSmith,32,VAN,4,3,2,0,1,10,105,95,0.905,3.07,0,0.6,196,2,0.667,1,101,-0.13,0,0,0,0
2023-2024,13,Luká_ Dostál,23,ANA,5,4,4,1,0,13,165,152,0.921,2.79,0,1.2,280,3,0.75,0,84,2.52,0,0,0,0
2023-2024,14,Samuel Ersson,24,PHI,2,2,0,1,1,12,50,38,0.76,5.91,0,-0.5,122,0,0,2,255,-7.3,0,0,0,0
2023-2024,15,Marc-André Fleury,39,MIN,4,4,1,2,1,13,116,103,0.888,3.25,0,0.4,240,2,0.5,1,119,-2.09,0,0,0,0
2023-2024,16,Anton Forsberg,31,OTT,3,3,2,1,0,8,63,55,0.873,3.01,0,0.1,160,1,0.333,1,135,-2.08,0,0,0,0
2023-2024,17,Alexandar Georgiev,27,COL,8,8,6,2,0,19,224,205,0.915,2.4,1,1.5,475,4,0.5,1,90,2.07,0,0,0,0
2023-2024,18,John Gibson,30,ANA,5,5,1,3,0,12,123,111,0.902,2.82,0,0.7,255,2,0.4,0,104,-0.43,0,0,0,0
2023-2024,19,Philipp Grubauer,32,SEA,5,5,1,4,0,15,152,137,0.901,3,0,0.8,300,2,0.4,0,105,-0.71,0,0,0,0
2023-2024,20,Filip Gustavsson,25,MIN,5,5,2,2,1,22,191,169,0.885,4.36,1,0.7,303,2,0.4,2,122,-4.04,0,0,0,0
2023-2024,21,Carter Hart,25,PHI,7,7,4,3,0,16,203,187,0.921,2.3,1,1.5,418,5,0.714,1,84,3.09,0,1,1,0
2023-2024,22,Magnus Hellberg,32,PIT,1,0,0,0,0,2,17,15,0.882,3.47,0,0.1,35,0,,0,,,0,0,0,0
2023-2024,23,Connor Hellebuyck,30,WPG,7,7,4,2,1,21,205,184,0.898,2.96,0,1,426,3,0.429,2,109,-1.72,0,0,0,0
2023-2024,24,Adin Hill,27,VEG,6,6,5,0,1,13,169,156,0.923,2.11,0,1.3,370,4,0.667,1,82,2.89,0,0,0,0
2023-2024,25,Joel Hofer,23,STL,2,2,1,1,0,6,69,63,0.913,3.01,1,0.4,120,1,0.5,0,92,0.49,0,0,0,0
2023-2024,26,Ville Husso,28,DET,7,7,4,2,1,23,229,206,0.9,3.28,0,1.2,421,3,0.429,1,107,-1.46,0,0,0,0
2023-2024,27,Connor Ingram,26,ARI,4,4,2,1,0,8,93,85,0.914,2.51,0,0.6,191,3,0.75,1,91,0.75,0,0,0,0
2023-2024,28,Tristan Jarry,28,PIT,7,7,2,5,0,18,169,151,0.893,2.84,2,0.7,380,3,0.429,2,113,-2.11,0,0,0,0
2023-2024,29,Jonas Johansson,28,TBL,8,8,4,1,3,22,282,260,0.922,2.73,2,2.1,484,4,0.5,0,83,4.52,0,0,0,0
2023-2024,30,Kaapo Kähkönen,27,SJS,4,3,0,3,0,11,118,107,0.907,3.16,0,0.7,209,2,0.667,0,99,0.1,0,0,0,0
2023-2024,31,Pyotr Kochetkov,24,CAR,3,2,0,3,0,11,67,56,0.836,4.33,0,-0.1,153,0,0,1,175,-4.7,0,0,0,0
2023-2024,32,Joonas Korpisalo,29,OTT,6,5,2,3,0,17,174,157,0.902,3.22,0,0.9,317,3,0.6,1,104,-0.64,0,1,1,0
