Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
1,Kevin De Bruyne,be BEL,MF,Manchester City,32,"£ 400,000 (€ 466,428, $496,415)","£ 20,800,000 (€ 24,254,260, $25,813,563)",
2,Erling Haaland,no NOR,FW,Manchester City,23,"£ 375,000 (€ 437,276, $465,389)","£ 19,500,000 (€ 22,738,369, $24,200,216)",
3,Casemiro,br BRA,MF,Manchester Utd,31,"£ 350,000 (€ 408,125, $434,363)","£ 18,200,000 (€ 21,222,478, $22,586,868)",
4,Mohamed Salah,eg EGY,FW,Liverpool,31,"£ 350,000 (€ 408,125, $434,363)","£ 18,200,000 (€ 21,222,478, $22,586,868)",
5,Raphaël Varane,fr FRA,DF,Manchester Utd,30,"£ 340,000 (€ 396,464, $421,952)","£ 17,680,000 (€ 20,616,121, $21,941,529)",
6,Raheem Sterling,eng ENG,"MF,FW",Chelsea,28,"£ 325,000 (€ 378,973, $403,337)","£ 16,900,000 (€ 19,706,586, $20,973,520)",
7,Marcus Rashford,eng ENG,FW,Manchester Utd,25,"£ 300,000 (€ 349,821, $372,311)","£ 15,600,000 (€ 18,190,695, $19,360,173)",
8,Bernardo Silva,pt POR,"MF,FW",Manchester City,28,"£ 300,000 (€ 349,821, $372,311)","£ 15,600,000 (€ 18,190,695, $19,360,173)",
9,Jack Grealish,eng ENG,FW,Manchester City,27,"£ 300,000 (€ 349,821, $372,311)","£ 15,600,000 (€ 18,190,695, $19,360,173)",
10,Kai Havertz,de GER,"MF,FW",Arsenal,24,"£ 280,000 (€ 326,500, $347,490)","£ 14,560,000 (€ 16,977,982, $18,069,494)",
11,Gabriel Jesus,br BRA,FW,Arsenal,26,"£ 265,000 (€ 309,009, $328,875)","£ 13,780,000 (€ 16,068,447, $17,101,486)",
12,Anthony Martial,fr FRA,FW,Manchester Utd,27,"£ 250,000 (€ 291,518, $310,259)","£ 13,000,000 (€ 15,158,913, $16,133,477)",
13,Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,23,"£ 250,000 (€ 291,518, $310,259)","£ 13,000,000 (€ 15,158,913, $16,133,477)",
14,Mason Mount,eng ENG,MF,Manchester Utd,24,"£ 250,000 (€ 291,518, $310,259)","£ 13,000,000 (€ 15,158,913, $16,133,477)",
15,John Stones,eng ENG,CB,Manchester City,29,"£ 250,000 (€ 291,518, $310,259)","£ 13,000,000 (€ 15,158,913, $16,133,477)",
16,Reece James,eng ENG,DF,Chelsea,23,"£ 250,000 (€ 291,518, $310,259)","£ 13,000,000 (€ 15,158,913, $16,133,477)",
17,Declan Rice,eng ENG,MF,Arsenal,24,"£ 240,000 (€ 279,857, $297,849)","£ 12,480,000 (€ 14,552,556, $15,488,138)",
18,Martin Ødegaard,no NOR,MF,Arsenal,24,"£ 240,000 (€ 279,857, $297,849)","£ 12,480,000 (€ 14,552,556, $15,488,138)",
