Season Year,Rk,Player,Nation,Position,Squad,Age,Born,Matches Played,Starts,Minutes,90s,Goals,Assists,Goals plus Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Expected Goals,Non-Penalty Expected Goals,Expected Assisted Goals,Non-Penalty Expected Goals plus Assisted Goals,Progressive Carries,Progressive Passes,Progressive Passes Received
2023-2024,1,Max Aarons,ENG,DF,Bournemouth,23-300,2000,10,9,793,8.8,0,0,0,0,0,0,1,0,0,0,0.2,0.3,12,26,15
2023-2024,2,BŽnie Adama Traore,CIV,"FW,MF",Sheffield Utd,20-335,2002,6,3,325,3.6,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.7,7,9,13
2023-2024,3,Tosin Adarabioyo,ENG,DF,Fulham,26-037,1997,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,4,Elijah Adebayo,ENG,FW,Luton Town,25-297,1998,10,4,367,4.1,2,0,2,2,0,0,0,0,1.4,1.4,0.3,1.7,4,7,25
2023-2024,5,Simon Adingra,CIV,"FW,DF",Brighton,21-303,2002,9,5,487,5.4,2,1,3,2,0,0,0,0,0.9,0.9,1.3,2.2,13,9,35
2023-2024,6,Nayef Aguerd,MAR,DF,West Ham,27-215,1996,9,9,786,8.7,1,0,1,1,0,0,2,1,0.9,0.9,0,0.9,6,17,0
2023-2024,7,Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,21-216,2002,4,0,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6
2023-2024,8,Anel Ahmedhod_i_,BIH,DF,Sheffield Utd,24-219,1999,8,8,720,8,0,0,0,0,0,0,3,0,0.9,0.9,0,0.9,3,11,10
2023-2024,9,Ola Aina,NGA,"DF,MF",Nott'ham Forest,27-023,1996,7,6,468,5.2,0,0,0,0,0,0,3,0,0,0,0,0.1,11,13,5
2023-2024,10,Rayan A•t Nouri,ALG,"MF,DF",Wolves,22-147,2001,10,9,694,7.7,0,0,0,0,0,0,3,0,0.6,0.6,0.3,0.8,14,38,27
