Squad,# Pl,90s,Players Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Dribbler Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arsenal,22,8,139,80,54,60,25,74,126,58.7,52,106,31,75,64,203,93,3
Aston Villa,23,8,127,73,58,57,12,63,131,48.1,68,88,22,66,55,182,114,1
Bournemouth,23,8,147,70,67,58,22,73,157,46.5,84,111,37,74,72,219,156,7
Brentford,24,8,140,91,75,51,14,62,146,42.5,84,96,24,72,71,211,181,4
Brighton,25,8,137,83,64,56,17,55,156,35.3,101,92,32,60,71,208,120,3
Burnley,24,8,124,71,55,42,27,62,126,49.2,64,92,42,50,55,179,158,6
Chelsea,22,8,133,77,54,50,29,54,112,48.2,58,86,31,55,51,184,136,2
Crystal Palace,19,8,160,83,76,53,31,66,122,54.1,56,90,35,55,65,225,201,1
Everton,23,8,162,97,76,55,31,71,136,52.2,65,112,27,85,63,225,123,3
Fulham,23,8,133,74,71,44,18,63,140,45,77,77,16,61,61,194,151,3
Liverpool,21,8,138,87,59,52,27,69,167,41.3,98,102,27,75,71,209,169,5
Luton Town,20,8,153,93,87,51,15,80,140,57.1,60,92,27,65,70,223,166,4
Manchester City,24,8,112,70,51,43,18,54,96,56.3,42,64,16,48,42,154,88,4
Manchester Utd,25,8,135,80,60,50,25,71,160,44.4,89,101,28,73,56,191,143,1
Newcastle Utd,20,8,123,77,57,51,15,55,135,40.7,80,94,30,64,42,165,111,3
Nott'ham Forest,25,8,147,86,92,41,14,65,124,52.4,59,92,39,53,74,221,211,2
Sheffield Utd,25,8,146,81,79,46,21,57,143,39.9,86,137,48,89,78,224,240,4
Tottenham,21,8,160,101,76,56,28,78,144,54.2,66,95,30,65,72,232,159,2
West Ham,19,8,146,96,80,49,17,68,136,50,68,121,49,72,88,234,229,1
Wolves,21,8,148,87,86,49,13,65,127,51.2,62,102,44,58,69,217,177,2
