Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arsenal,2,8,8,720,8,6,0.75,16,10,62.5,6,2,0,4,50,0,0,0,0,
Aston Villa,2,8,8,720,8,12,1.5,33,22,63.6,5,1,2,2,25,0,0,0,0,
Bournemouth,1,8,8,720,8,18,2.25,51,33,68.6,0,3,5,1,12.5,3,2,1,0,33.3
Brentford,2,8,8,720,8,12,1.5,35,23,68.6,1,4,3,1,12.5,1,1,0,0,0
Brighton,2,8,8,720,8,16,2,37,22,62.2,5,1,2,0,0,2,2,0,0,0
Burnley,1,8,8,720,8,20,2.5,47,28,61.7,1,1,6,0,0,2,2,0,0,0
Chelsea,1,8,8,720,8,7,0.87,28,21,78.6,3,2,3,3,37.5,1,1,0,0,0
Crystal Palace,1,8,8,720,8,7,0.87,27,20,81.5,3,3,2,4,50,2,2,0,0,0
Everton,1,8,8,720,8,12,1.5,29,18,62.1,2,1,5,1,12.5,1,1,0,0,0
Fulham,1,8,8,720,8,13,1.62,43,31,76.7,3,2,3,3,37.5,3,3,0,0,0
Liverpool,1,8,8,720,8,9,1.13,37,29,75.7,5,2,1,1,12.5,0,0,0,0,
Luton Town,1,8,8,720,8,15,1.87,40,25,65,1,1,6,0,0,1,1,0,0,0
Manchester City,1,8,8,720,8,6,0.75,16,11,62.5,6,0,2,3,37.5,0,0,0,0,
Manchester Utd,1,8,8,720,8,12,1.5,38,27,68.4,4,0,4,2,25,0,0,0,0,
Newcastle Utd,1,8,8,720,8,9,1.13,28,19,67.9,4,1,3,3,37.5,0,0,0,0,
Nott'ham Forest,1,8,8,720,8,10,1.25,33,23,72.7,2,3,3,2,25,1,1,0,0,0
Sheffield Utd,1,8,8,720,8,22,2.75,66,45,66.7,0,1,7,0,0,1,0,0,1,
Tottenham,1,8,8,720,8,8,1,35,28,82.9,6,2,0,3,37.5,2,2,0,0,0
West Ham,1,8,8,720,8,12,1.5,45,32,75.6,4,2,2,1,12.5,2,1,1,0,50
Wolves,1,8,8,720,8,14,1.75,48,35,72.9,2,2,4,1,12.5,1,1,0,0,0
