Squad,Num of Players,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Med_Cmp,Med_Att,Med_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,Passes into Attacking Third,Passes into Box,Crosses into Box,Progressive Passes
Arsenal,22,8,4206,4899,85.9,70722,21922,2027,2208,91.8,1800,1997,90.1,300,498,60.2,9,8.1,9.1,0.9,89,326,101,13,393
Aston Villa,23,8,3206,3883,82.6,56407,19345,1385,1548,89.5,1476,1670,88.4,278,491,56.6,12,10.2,7.6,1.8,88,259,85,21,300
Bournemouth,23,8,2545,3336,76.3,46028,16568,1099,1245,88.3,1102,1288,85.6,275,603,45.6,4,5.8,5.9,-1.8,67,203,67,14,253
Brentford,24,8,3067,3889,78.9,55458,20472,1340,1530,87.6,1355,1599,84.7,317,587,54,7,10.2,10.4,-3.2,79,207,66,16,297
Brighton,25,8,4244,4873,87.1,70307,23006,2080,2249,92.5,1724,1903,90.6,323,496,65.1,16,13.2,11.7,2.8,110,262,88,18,368
Burnley,24,8,3346,4146,80.7,57993,18536,1568,1758,89.2,1433,1626,88.1,289,568,50.9,7,5.6,6.2,1.4,62,163,39,7,219
Chelsea,22,8,4590,5315,86.4,74731,24927,2290,2486,92.1,1824,2022,90.2,332,501,66.3,6,9.8,9.6,-3.8,77,337,94,14,377
Crystal Palace,19,8,2838,3570,79.5,50746,18564,1266,1427,88.7,1246,1432,87,272,539,50.5,6,7.8,5.9,-1.8,75,240,56,11,264
Everton,23,8,2743,3623,75.7,48648,19520,1300,1471,88.4,1039,1251,83.1,318,659,48.3,5,11.5,8.9,-6.5,92,219,68,17,255
Fulham,23,8,3562,4337,82.1,63748,21063,1539,1731,88.9,1604,1807,88.8,347,596,58.2,2,5.7,5.5,-3.7,61,268,66,17,311
Liverpool,21,8,3882,4603,84.3,65635,23046,1850,2017,91.7,1638,1833,89.4,316,551,57.4,10,11.7,9.9,-1.7,97,247,79,11,352
Luton Town,20,8,1939,2858,67.8,37615,16760,852,1038,82.1,742,954,77.8,287,654,43.9,3,6.3,7.3,-3.3,79,185,57,23,244
Manchester City,24,8,4901,5553,88.3,81580,22679,2393,2549,93.9,2014,2198,91.6,359,552,65,13,11.2,11.8,1.8,107,373,90,11,386
Manchester Utd,25,8,3738,4526,82.6,62032,19955,1853,2069,89.6,1435,1639,87.6,325,561,57.9,7,10.7,10.4,-3.7,108,325,103,12,418
Newcastle Utd,20,8,3739,4488,83.3,63408,21098,1791,1986,90.2,1562,1778,87.9,314,535,58.7,13,12.1,8.4,0.9,90,235,74,13,310
Nott'ham Forest,25,8,2422,3203,75.6,42912,17418,1131,1336,84.7,973,1195,81.4,257,512,50.2,7,6.3,5.4,0.7,63,173,49,7,219
Sheffield Utd,25,8,2230,3076,72.5,39487,17162,1075,1270,84.6,823,1008,81.6,258,588,43.9,2,3.7,3.5,-1.7,46,163,38,9,188
Tottenham,21,8,4235,4946,85.6,66008,22726,2259,2422,93.3,1596,1801,88.6,238,430,55.3,14,12.6,12.7,1.4,117,336,108,12,460
West Ham,19,8,2384,3129,76.2,41612,16984,1129,1270,88.9,885,1059,83.6,268,545,49.2,13,9.1,8.7,3.9,70,160,48,12,214
Wolves,21,8,2841,3581,79.3,47492,17383,1451,1611,90.1,1073,1256,85.4,241,514,46.9,7,7.6,6.7,-0.6,67,169,46,15,229
