Squad,# Pl,Poss,90s,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take ons Att,Take ons Succ,Take ons Succ%,Take ons Tkld,Take ons Tkld%,Carries,Carries TotDist,Carries Totals PrgDist,Carries PrgC,Carries third,Carries CPA,Carries Mis,Carries Dis,Rec,Receiving PrgR
Arsenal,22,60.5,8,5701,450,1552,2418,1772,272,5696,154,72,46.8,66,42.9,3726,18801,9674,174,121,54,97,82,4161,386
Aston Villa,23,49.1,8,4700,560,1627,2022,1087,222,4698,161,68,42.2,62,38.5,2847,15557,8161,148,91,48,110,70,3148,298
Bournemouth,23,44,8,4328,551,1514,1758,1119,203,4328,202,99,49,84,41.6,2404,14264,7548,142,99,40,123,94,2517,250
Brentford,24,49,8,4794,656,1918,1857,1064,228,4792,121,48,39.7,56,46.3,2657,13287,6991,111,67,38,115,61,3026,297
Brighton,25,60.1,8,5762,636,1843,2599,1365,248,5761,172,72,41.9,82,47.7,3747,18979,10221,186,114,61,121,70,4176,365
Burnley,24,48.8,8,4981,664,1908,2015,1099,151,4981,161,62,38.5,77,47.8,3070,14632,7532,135,95,42,98,57,3320,214
Chelsea,22,63.1,8,6183,583,1879,2770,1585,269,6181,177,80,45.2,68,38.4,4200,20027,10486,210,129,68,147,81,4552,374
Crystal Palace,19,44.8,8,4548,523,1544,1923,1135,168,4548,178,92,51.7,67,37.6,2529,12501,6585,118,84,33,142,109,2810,260
Everton,23,45.9,8,4536,433,1337,1938,1296,197,4536,129,61,47.3,57,44.2,2525,12880,6597,138,109,40,113,69,2712,254
Fulham,23,52,8,5134,501,1698,2298,1180,153,5134,98,47,48,44,44.9,3099,17145,8909,142,102,34,103,91,3521,308
Liverpool,21,52.6,8,5511,570,1764,2529,1274,233,5508,157,70,44.6,80,51,3380,15531,8370,161,104,48,110,71,3854,348
Luton Town,20,37.3,8,3820,486,1304,1439,1121,200,3818,130,51,39.2,66,50.8,1773,10378,5065,112,83,42,119,68,1917,240
Manchester City,24,64.4,8,6250,453,1497,3098,1690,232,6248,135,72,53.3,52,38.5,4188,22216,12717,215,171,54,92,56,4834,382
Manchester Utd,25,53.9,8,5389,510,1515,2305,1624,235,5388,159,77,48.4,62,39,3342,17032,9441,182,129,62,104,82,3695,414
Newcastle Utd,20,53.4,8,5282,458,1747,2403,1176,219,5280,138,74,53.6,42,30.4,3167,16069,7615,162,106,54,105,75,3715,309
Nott'ham Forest,25,38.6,8,4119,563,1555,1646,962,153,4119,135,60,44.4,62,45.9,2103,11161,5950,115,108,34,105,57,2399,213
Sheffield Utd,25,38.6,8,4066,636,1645,1640,813,139,4066,128,49,38.3,68,53.1,1839,8861,4157,58,55,23,105,84,2215,188
Tottenham,21,60.8,8,5923,626,1840,2382,1773,323,5923,211,96,45.5,92,43.6,3867,20921,10611,228,154,86,111,78,4205,458
West Ham,19,37.9,8,4107,627,1645,1664,835,176,4106,120,65,54.2,43,35.8,2151,11992,5508,112,79,40,118,66,2364,212
Wolves,21,45.4,8,4518,648,1785,1903,905,155,4518,194,104,53.6,75,38.7,2740,15941,8230,149,113,41,138,84,2810,226
