Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,22,8,15,113,39,34.5,14.12,4.87,0.09,0.26,16.5,0,5,5,14.9,11.2,0.1,0.1,-1.2
Aston Villa,23,8,18,120,45,37.5,15,5.63,0.13,0.36,16.1,3,2,2,15.1,13.6,0.12,2.9,2.4
Bournemouth,23,8,5,94,29,30.9,11.75,3.62,0.05,0.17,17.5,4,0,0,8.8,8.8,0.1,-3.8,-3.8
Brentford,24,8,11,111,30,27,13.87,3.75,0.08,0.3,14.9,3,2,2,13.8,12.4,0.11,-2.8,-3.4
Brighton,25,8,20,130,53,40.8,16.25,6.62,0.15,0.36,17.2,3,1,1,16.4,15.6,0.12,3.6,3.4
Burnley,24,8,7,85,23,27.1,10.62,2.87,0.08,0.3,17.7,2,0,0,6.5,6.5,0.08,0.5,0.5
Chelsea,22,8,10,109,35,32.1,13.62,4.37,0.08,0.26,16.5,6,1,2,15,13.5,0.13,-5,-4.5
Crystal Palace,19,8,7,98,35,35.7,12.25,4.37,0.07,0.2,16.4,5,0,0,8.9,8.9,0.09,-1.9,-1.9
Everton,23,8,9,133,43,32.3,16.62,5.37,0.07,0.21,15.7,2,0,0,14.7,14.7,0.12,-5.7,-5.7
Fulham,23,8,7,86,27,31.4,10.75,3.38,0.08,0.26,17.8,4,0,0,8.7,8.7,0.11,-1.7,-1.7
Liverpool,21,8,16,126,36,28.6,15.75,4.5,0.11,0.39,17,4,2,3,17,14.5,0.12,-1,-0.5
Luton Town,20,8,6,100,15,15,12.5,1.87,0.04,0.27,14.8,1,2,2,9.5,8,0.08,-3.5,-4
Manchester City,24,8,17,129,50,38.8,16.12,6.25,0.12,0.32,16.9,6,1,2,14.9,13.4,0.11,2.1,2.6
Manchester Utd,25,8,9,129,37,28.7,16.12,4.62,0.06,0.22,16.9,3,1,1,12.6,11.8,0.09,-3.6,-3.8
Newcastle Utd,20,8,20,115,48,41.7,14.37,6,0.16,0.38,15.8,1,2,2,17.2,15.7,0.14,2.8,2.3
Nott'ham Forest,25,8,8,84,26,31,10.5,3.25,0.1,0.31,17.2,1,0,0,7.8,7.8,0.09,0.2,0.2
Sheffield Utd,25,8,4,71,22,31,8.87,2.75,0.06,0.18,16.2,0,0,0,6.1,6.1,0.09,-2.1,-2.1
Tottenham,21,8,16,153,56,36.6,19.13,7,0.1,0.29,17.5,2,0,0,15,15,0.1,1,1
West Ham,19,8,15,90,35,38.9,11.25,4.37,0.16,0.4,14.6,2,1,1,12.3,11.5,0.13,2.7,2.5
Wolves,21,8,8,87,26,29.9,10.87,3.25,0.09,0.31,16,1,0,0,9.9,9.9,0.12,-1.9,-1.9
